step,val_loss,content,style,id1,id2,ssim
0,105.609863,4.764211,65.374119,25.462691,10.008844,0.000000
250,43.981300,5.962823,28.027625,1.786114,8.204737,0.000000
500,39.749170,5.764008,24.452614,1.620399,7.912149,0.000000
750,32.988306,5.666795,17.389680,1.722189,8.209643,0.000000
1000,34.491946,5.359275,20.630643,1.316337,7.185690,0.000000
1250,30.384518,5.398956,16.512259,1.314561,7.158742,0.000000
1500,28.665892,5.086961,15.978135,1.105877,6.494920,0.000000
1750,27.085788,4.938117,15.052619,0.837060,6.257991,0.000000
2000,26.518692,5.036652,14.497569,0.844534,6.139937,0.000000
2250,25.582243,5.016644,14.036175,0.797684,5.731740,0.000000
2500,24.570338,4.875255,13.095748,0.805548,5.793787,0.000000
2750,23.555442,4.776559,12.635382,0.656285,5.487216,0.000000
