step,val_loss,content,style,id1,id2,ssim
125,75.086342,11.705620,35.740959,0.824721,20.723639,6.091403
250,76.491193,11.782832,37.294797,0.732437,20.648850,6.032278
375,74.083803,11.065494,36.558599,0.693091,19.908489,5.858130
500,72.371098,11.393994,35.122361,0.745656,19.316081,5.793007
625,71.026498,11.470924,33.833953,0.658239,19.443184,5.620199
750,74.432640,11.412881,36.925847,0.921928,19.578363,5.593623
875,70.615432,10.877793,34.655040,0.666914,18.863120,5.552566
1000,70.489667,10.859844,35.921111,0.689858,17.628063,5.390790
1125,71.130595,11.143840,36.350229,0.633636,17.705492,5.297398
1250,69.434377,11.104776,34.727603,0.737195,17.437738,5.427066
1375,68.915766,10.774139,34.950221,0.652050,17.364388,5.174968
1500,67.312016,11.564494,33.117336,0.646021,16.846127,5.138037
1625,65.970366,11.624960,32.252401,0.591059,16.445622,5.056325
1750,72.292299,10.581741,38.585975,0.793743,17.140797,5.190043
1875,69.630443,11.762721,35.559774,0.702763,16.561031,5.044153
