step,val_loss,content,style,id1,id2,ssim
0,321.649994,14.392430,192.572517,46.451811,58.501459,9.731790
250,169.469735,19.091826,91.396024,4.037978,49.395597,5.548307
500,153.675475,17.470719,83.245621,2.572657,45.083068,5.303409
750,153.244918,15.550809,87.431646,4.322561,40.761377,5.178527
1000,121.533026,14.205867,64.284636,2.161534,36.365964,4.515024
1250,110.204110,14.225948,53.144338,2.279838,36.143610,4.410376
1500,105.544670,13.672906,55.961646,1.583287,30.303638,4.023191
1750,93.950400,13.553594,45.433288,1.683101,29.327022,3.953396
2000,100.358632,13.866156,50.315720,2.511437,29.634079,4.031241
2250,88.239584,12.970401,43.572252,1.422840,26.544410,3.729682
2500,89.216465,13.056737,44.404364,1.570671,26.467704,3.716989
2750,86.532141,12.572586,43.167186,1.279181,25.926837,3.586352
3000,93.069892,12.048416,50.269808,1.485908,25.675768,3.589991
3250,85.879292,13.089372,43.828111,1.440121,24.029978,3.491709
