step,val_loss,content,style,id1,id2,ssim
0,327.806915,14.772264,194.801376,49.244154,59.098873,9.890252
250,161.542016,19.470332,80.401897,3.637151,52.128104,5.904533
500,160.023427,18.198893,85.521094,3.606807,47.237309,5.459328
750,142.336154,17.790225,69.711373,3.627725,45.668005,5.538826
1000,121.933980,17.010747,51.913960,3.294486,44.620432,5.094360
1250,117.586822,16.694370,51.268636,3.360664,41.420097,4.843055
1500,106.485540,15.864064,48.557310,1.977987,35.568321,4.517858
1750,99.195395,14.609914,47.030185,1.639729,31.713213,4.202354
2000,95.639059,14.524901,45.223628,1.780368,30.077261,4.032901
2250,94.050343,14.941169,43.973211,1.580924,29.465010,4.090029
2500,90.767208,13.541278,45.089665,1.442590,26.913102,3.780571
2750,93.495237,12.867608,49.932515,1.287698,25.744063,3.663355
3000,86.785717,14.595057,41.096305,1.259434,26.133505,3.701414
3250,85.103432,14.104770,41.313475,1.313498,24.807597,3.564092
3500,86.742507,14.016392,42.980812,1.516511,24.627887,3.600904
3750,90.670534,12.202736,49.594037,1.208296,24.382778,3.282689
4000,84.900277,13.321948,43.387186,1.321526,23.547706,3.321910
4250,79.601824,12.907717,40.697723,1.080916,21.731659,3.183809
4500,77.154714,13.166087,38.535548,1.080563,21.330978,3.041537
4750,75.589927,12.663790,39.347621,0.983991,19.633385,2.961140
5000,74.293133,12.768871,38.783410,1.011100,18.832481,2.897271
5250,74.194362,12.065445,40.385220,0.888464,18.044978,2.810255
5500,73.684046,12.143924,38.893010,1.027851,18.756321,2.862940
5750,69.843192,12.578306,37.264850,0.662164,16.685248,2.652624
6000,72.415553,13.549597,38.377424,0.854714,16.910082,2.723735
6250,65.417005,11.728294,35.451773,0.577598,15.167369,2.491970
6500,66.425893,12.452077,35.992426,0.570374,14.925505,2.485510
6750,68.730540,11.355190,39.038741,0.660368,15.261515,2.414726
7000,64.669281,12.483397,34.747816,0.562317,14.461754,2.413998
7250,68.460975,11.946070,38.903267,0.641955,14.579419,2.390264
