step,val_loss,content,style,id1,id2,ssim
0,106.533394,5.264912,65.670765,25.590123,10.007596,0.000000
250,44.667839,6.169624,27.631968,2.281458,8.584789,0.000000
500,39.905057,5.922273,23.454842,1.979115,8.548827,0.000000
750,37.258687,5.732453,21.416425,2.043513,8.066295,0.000000
1000,34.045924,5.716348,17.548108,2.191956,8.589513,0.000000
1250,31.653921,5.775777,16.445595,1.690345,7.742203,0.000000
1500,29.160467,5.701119,14.825904,1.334493,7.298951,0.000000
1750,27.058054,5.417368,13.405429,1.191884,7.043373,0.000000
2000,28.916556,5.628675,14.490060,1.377006,7.420814,0.000000
2250,27.741266,5.619676,14.549723,0.966099,6.605767,0.000000
