step,val_loss,content,style,id1,id2,ssim
0,333.930588,15.075097,196.392494,52.872301,59.721550,9.869141
250,165.385391,19.121638,87.594021,3.424024,49.620163,5.625539
500,154.121594,17.406607,83.150613,3.037015,45.164485,5.362875
750,148.630298,16.109602,83.382069,2.842643,41.238359,5.057627
1000,135.093933,14.736221,74.266283,3.058228,38.257119,4.776081
1250,112.848816,13.783741,58.996130,2.229737,33.394241,4.444968
1500,105.811218,13.309814,55.493126,1.854611,31.033314,4.120352
1750,98.109211,12.948982,50.660993,1.593673,28.807037,4.098526
2000,96.136705,13.185247,47.961101,2.049617,29.050556,3.890183
2250,90.538191,12.823080,45.847770,1.351550,26.851463,3.664328
2500,90.871051,12.946424,47.259319,1.243047,25.774056,3.648205
2750,89.527989,12.724897,45.005359,1.905311,26.171651,3.720770
3000,84.301048,13.228246,41.343125,1.343052,24.881092,3.505532
3250,82.892708,12.849048,40.614624,1.284765,24.736981,3.407292
3500,81.880021,12.750517,41.549785,0.999332,23.207871,3.372516
3750,83.044998,12.387772,43.692829,1.070862,22.593499,3.300035
4000,82.835953,12.493569,43.280738,1.102937,22.686518,3.272192
4250,77.323690,12.157597,40.678817,0.821401,20.595039,3.070837
4500,74.253847,11.722696,38.993408,0.836176,19.647772,3.053796
4750,75.028168,12.017809,40.070017,0.827221,19.128515,2.984605
5000,73.406024,12.229715,39.889219,0.731116,17.769553,2.786421
5250,72.998630,12.196941,39.638893,0.779708,17.656818,2.726268
