step,val_loss,content,style,id1,id2,ssim
0,318.227905,15.169965,195.312340,48.050486,59.695122,0.000000
250,165.683217,19.033708,93.750439,3.433801,49.465272,0.000000
500,138.822046,16.048129,75.849856,4.058140,42.865918,0.000000
750,127.237172,15.392496,69.390178,3.156554,39.297943,0.000000
1000,109.330574,14.460853,57.319187,2.193300,35.357233,0.000000
1250,89.409098,13.629892,43.949383,1.625906,30.203917,0.000000
1500,108.600335,15.125848,55.242704,2.621906,35.609876,0.000000
1750,93.569106,12.875522,49.550301,1.902590,29.240694,0.000000
2000,106.966031,13.885487,57.565402,2.336636,33.178507,0.000000
2250,87.299968,13.407661,45.288218,1.590465,27.013623,0.000000
