step,val_loss,content,style,id1,id2,ssim
0,189.910576,4.679851,97.139919,75.078712,13.012094,0.000000
250,88.506037,5.897341,55.007307,17.112608,10.488779,0.000000
500,81.528062,5.716106,49.807755,15.725333,10.278867,0.000000
750,83.769373,5.489951,54.940359,13.727000,9.612061,0.000000
1000,68.112246,5.361423,40.919049,12.221947,9.609828,0.000000
1250,67.682324,5.329627,40.841889,12.170948,9.339860,0.000000
1500,65.850066,5.468113,37.975862,12.918371,9.487722,0.000000
1750,63.014231,5.403942,37.358856,11.209383,9.042050,0.000000
2000,58.980873,5.543435,32.131566,11.998609,9.307263,0.000000
2250,56.061654,5.429640,31.665942,10.299848,8.666224,0.000000
2500,59.337208,5.248818,35.184554,10.497158,8.406678,0.000000
2750,55.140623,5.287357,31.196107,10.358776,8.298384,0.000000
3000,55.379672,5.426227,31.196096,10.427598,8.329751,0.000000
3250,55.619644,5.251286,32.664057,9.626390,8.077911,0.000000
3500,53.627934,5.212215,32.289549,8.501783,7.624388,0.000000
3750,52.673725,5.296221,30.564709,9.274557,7.538236,0.000000
4000,52.186786,5.343577,31.618751,7.797206,7.427252,0.000000
4250,49.953879,5.222935,30.041332,7.552250,7.137362,0.000000
4500,52.037641,5.308380,31.406155,8.259200,7.063906,0.000000
4750,49.643621,5.415664,30.396624,6.927681,6.903652,0.000000
5000,48.979590,5.325621,29.543772,7.177602,6.932594,0.000000
