step,val_loss,content,style,id1,id2,ssim
0,27.376262,0.886348,9.241353,6.455388,1.235536,9.557637
250,12.555757,0.771661,5.512971,0.711182,0.906806,4.653137
500,11.343194,0.688111,5.241866,0.585882,0.808873,4.018462
750,10.725120,0.656230,5.036281,0.566843,0.773057,3.692707
1000,10.281990,0.625034,5.040446,0.479792,0.723239,3.413479
1250,10.080126,0.629829,4.891993,0.494476,0.711132,3.352696
1500,9.814993,0.613382,4.891181,0.437177,0.696513,3.176741
1750,8.862393,0.630934,4.162721,0.392876,0.674658,3.001204
2000,9.278406,0.606301,4.728372,0.394809,0.650499,2.898425
2250,7.705778,0.629384,3.410682,0.392929,0.634060,2.638724
2500,7.325326,0.633987,3.222034,0.384322,0.602821,2.482162
2750,6.993968,0.651181,3.086889,0.309783,0.573742,2.372373
3000,6.761059,0.652531,3.033452,0.264158,0.541970,2.268948
3250,6.562394,0.655753,2.952925,0.276270,0.513779,2.163667
3500,6.394788,0.646773,2.933656,0.231565,0.496338,2.086457
3750,6.358860,0.669945,2.809413,0.290266,0.509935,2.079301
4000,6.063176,0.643490,2.776028,0.207624,0.466068,1.969966
4250,6.094359,0.623003,2.858818,0.219299,0.459702,1.933537
4500,5.969432,0.660706,2.815523,0.199222,0.439726,1.854255
4750,6.367441,0.646147,2.872156,0.410211,0.477628,1.961300
