step,val_loss,content,style,id1,id2,ssim
0,327.720825,14.917443,199.948555,52.159834,60.694981,0.000000
250,170.788352,19.011402,98.683039,3.700466,49.393442,0.000000
500,128.190614,17.325651,63.321912,2.836222,44.706827,0.000000
750,107.588879,15.490126,52.280306,2.320578,37.497866,0.000000
1000,102.833172,15.620490,48.343386,3.006856,35.862441,0.000000
1250,99.456591,15.163331,46.837099,2.950741,34.505420,0.000000
1500,90.577572,14.672733,43.793472,1.594950,30.516417,0.000000
1750,90.351499,14.324109,43.036962,2.209751,30.780676,0.000000
2000,85.721917,14.154282,41.770566,1.970417,27.826653,0.000000
2250,83.223423,13.877603,40.141075,1.635847,27.568897,0.000000
2500,82.743479,13.483277,40.630133,1.412636,27.217433,0.000000
2750,82.414447,12.939467,42.838314,1.351829,25.284837,0.000000
3000,79.531988,13.476038,40.256211,1.382510,24.417229,0.000000
3250,84.008334,12.690602,45.317375,1.564533,24.435823,0.000000
3500,77.596594,13.141749,39.679555,1.018981,23.756309,0.000000
3750,74.410503,13.017263,38.081057,0.924202,22.387981,0.000000
4000,82.590112,12.954651,44.155077,1.372036,24.108346,0.000000
4250,73.163157,12.126715,39.656233,1.071277,20.308932,0.000000
4500,75.159333,12.142532,40.655351,1.243696,21.117753,0.000000
4750,74.620557,12.283125,41.900237,0.922570,19.514623,0.000000
