step,val_loss,content,style,id1,id2,ssim
0,181.179871,15.539216,64.059258,44.158546,57.422850,0.000000
250,91.954970,15.385269,33.814447,1.977670,40.777585,0.000000
500,69.896424,11.808938,26.040741,1.453106,30.593639,0.000000
750,64.649241,10.683303,25.289608,1.336023,27.340307,0.000000
1000,55.835095,10.769664,17.872150,1.443673,25.749607,0.000000
1250,52.089293,10.237541,17.314107,1.209003,23.328642,0.000000
1500,48.743691,9.665813,17.381031,0.803286,20.893561,0.000000
1750,45.511948,9.053977,16.976332,0.745572,18.736067,0.000000
2000,43.214915,8.063893,17.455485,0.834332,16.861204,0.000000
2250,41.039722,8.256559,16.004992,0.713252,16.064919,0.000000
2500,38.017674,7.615781,15.735639,0.589242,14.077012,0.000000
2750,38.151834,7.390472,15.892377,0.834851,14.034134,0.000000
3000,36.365002,7.211822,15.787817,0.728754,12.636609,0.000000
3250,34.984315,6.944881,15.738826,0.632258,11.668350,0.000000
3500,33.579328,6.403747,15.841033,0.498283,10.836266,0.000000
3750,33.407152,6.330996,16.123274,0.495799,10.457084,0.000000
