step,val_loss,content,style,id1,id2,ssim
0,60.318821,3.155528,21.959894,20.123426,5.588084,9.491888
250,27.149242,2.975532,13.997798,1.469255,3.961538,4.745119
500,22.897286,2.636765,11.710241,0.999240,3.476727,4.074313
750,21.325074,2.350124,11.256471,0.758140,3.201636,3.758703
1000,20.435502,2.258120,10.983586,0.607646,3.069309,3.516841
1250,20.877109,2.168326,11.578406,0.591807,3.027409,3.511162
1500,20.002418,2.105899,11.088226,0.581228,2.937643,3.289423
1750,17.908570,2.030929,9.348381,0.597128,2.776569,3.155564
2000,16.292806,1.985634,8.359075,0.459576,2.607176,2.881344
2250,14.831076,2.043301,7.250774,0.423542,2.440316,2.673143
2500,14.292783,2.024405,7.127941,0.335890,2.289445,2.515102
2750,14.564435,1.879740,7.571460,0.384745,2.272583,2.455906
3000,13.364922,1.981005,6.762275,0.280086,2.099372,2.242184
3250,12.949991,2.018494,6.415379,0.269298,2.044446,2.202375
3500,13.212849,1.910837,6.734216,0.386446,2.017350,2.164000
3750,13.313288,2.021626,6.884021,0.334247,1.996652,2.076743
4000,12.311496,1.887117,6.355829,0.237241,1.832189,1.999122
4250,12.128095,1.860122,6.221277,0.253020,1.804441,1.989236
4500,12.270861,1.955467,6.409021,0.251912,1.751386,1.903075
4750,11.887921,1.937533,6.192597,0.215656,1.685859,1.856277
