step,val_loss,content,style,id1,id2,ssim
0,184.878311,4.914144,95.615383,71.370102,12.978683,0.000000
250,89.771769,6.110021,54.995637,17.782522,10.883590,0.000000
500,83.995551,5.800002,53.857951,14.300653,10.036945,0.000000
750,76.108400,5.627394,47.663153,12.921544,9.896309,0.000000
1000,67.989785,5.505005,40.700754,12.130127,9.653901,0.000000
1250,63.672848,5.537138,36.902742,11.678192,9.554777,0.000000
1500,61.268848,5.534709,34.108219,12.126164,9.499755,0.000000
1750,57.952363,5.497475,32.383817,10.927157,9.143913,0.000000
2000,59.240444,5.551728,33.221995,11.321749,9.144971,0.000000
