step,val_loss,content,style,id1,id2,ssim
0,86.680855,4.625546,39.793970,22.731228,10.091992,9.438118
250,38.861257,5.552036,18.208085,1.624155,7.951793,5.525187
500,38.049029,4.887154,19.208077,1.832595,7.042110,5.079092
750,36.064268,4.321997,20.371241,0.908522,6.118631,4.343878
1000,32.676873,4.112520,17.470597,1.082876,5.869810,4.141071
1250,27.762882,3.991114,13.355093,0.988667,5.639198,3.788810
1500,25.841039,4.041207,12.016186,0.704000,5.444299,3.635348
1750,26.354665,3.825647,12.888837,0.960753,5.108162,3.571266
2000,23.538943,4.083076,10.204143,0.680879,5.122688,3.448158
2250,23.387407,3.856905,10.654381,0.588218,4.924783,3.363121
2500,22.672665,3.933937,10.224028,0.517367,4.781458,3.215875
2750,21.991199,4.044649,9.877267,0.472860,4.568274,3.028148
3000,20.886642,3.915170,9.347428,0.402905,4.323891,2.897247
3250,20.854214,3.699918,9.833752,0.354345,4.153082,2.813117
3500,20.025212,3.850108,9.078160,0.375404,4.028269,2.693271
3750,19.548622,3.722011,8.924800,0.339227,3.957491,2.605093
4000,19.713416,3.693897,9.420186,0.313753,3.768246,2.517334
4250,19.003800,3.548445,8.932002,0.351550,3.752283,2.419521
4500,19.087331,3.397863,9.416712,0.334168,3.529414,2.409173
4750,18.038015,3.442863,8.653678,0.271818,3.378932,2.290723
