step,val_loss,content,style,id1,id2,ssim
0,165.311203,7.371206,96.998726,23.520947,27.670836,9.749489
250,82.302333,9.298599,44.652497,1.685332,21.187583,5.478322
500,70.208332,8.511575,34.854762,1.956622,19.734694,5.150678
750,61.557653,7.881234,30.457709,1.190442,17.426761,4.601508
1000,54.306729,7.508309,25.429698,1.078245,15.975092,4.315385
1250,50.349489,6.944190,23.938645,1.163570,14.211795,4.091288
1500,44.782159,7.174170,19.962272,0.699162,13.170401,3.776155
1750,46.768528,6.683967,22.862088,0.699593,12.812461,3.710420
2000,44.012504,6.867813,20.607288,0.738307,12.181892,3.617204
2250,43.369146,6.780800,20.085666,0.706217,12.161485,3.634978
2500,42.103479,6.244130,20.471748,0.663558,11.352133,3.371910
2750,40.977905,6.691282,19.366715,0.594823,11.009112,3.315973
3000,39.404651,6.348096,19.465423,0.492187,10.041114,3.057830
3250,40.225440,5.733689,21.509503,0.442303,9.590756,2.949188
3500,37.699127,5.765121,19.526509,0.422631,9.093929,2.890936
3750,36.829602,5.800116,19.279610,0.398189,8.599214,2.752473
4000,36.054688,6.055243,18.451547,0.475293,8.347732,2.724873
4250,37.404940,5.703965,20.260854,0.408981,8.352174,2.678965
4500,34.799639,5.706097,18.797138,0.313260,7.459644,2.523500
4750,34.439047,5.681118,18.162461,0.563821,7.507763,2.523884
