step,val_loss,content,style,id1,id2,ssim
125,92.357355,12.023552,35.620496,0.739460,20.809157,23.164690
250,91.704199,11.962578,36.339487,0.752979,20.185832,22.463324
375,92.389546,10.665411,39.593877,0.735355,19.917451,21.477452
500,87.141037,11.475699,35.514216,0.633419,18.768929,20.748773
625,86.517209,11.437745,35.255413,0.640748,18.777363,20.405940
750,90.786492,11.488017,39.717332,0.798831,18.632114,20.150197
875,84.683493,11.182218,35.602931,0.588060,17.533547,19.776738
1000,84.433977,10.522322,37.215857,0.585041,17.200814,18.909943
1125,83.047620,10.952078,36.169017,0.537167,16.510548,18.878809
1250,79.842736,10.871406,33.670639,0.702730,15.955040,18.642922
1375,78.786394,10.916585,34.079548,0.528731,15.403552,17.857979
1500,77.980499,11.074364,33.801970,0.524829,14.853212,17.726124
1625,79.900341,11.664689,35.884515,0.504105,14.472410,17.374622
1750,81.771278,10.247396,38.233149,0.616466,15.030999,17.643270
1875,80.851050,11.408135,37.540305,0.603813,14.202244,17.096555
