step,val_loss,content,style,id1,id2,ssim
0,51.719551,2.027439,22.047774,14.854629,3.020846,9.768862
250,21.595370,1.844430,11.537640,1.016909,2.185135,5.011255
500,21.050029,1.688757,12.059581,0.838559,1.964715,4.498417
750,17.313460,1.606204,8.512093,0.975056,1.965024,4.255082
1000,15.827128,1.574591,7.486415,0.846339,1.907866,4.011918
1250,14.463782,1.558803,6.844740,0.625331,1.725509,3.709399
1500,13.761487,1.585524,6.470224,0.585749,1.693135,3.426855
1750,13.524326,1.640398,6.192454,0.608405,1.689959,3.393109
2000,13.161430,1.636343,5.909256,0.575220,1.658605,3.382006
2250,12.802257,1.600475,5.905552,0.510818,1.617023,3.168389
2500,12.516432,1.623533,5.711093,0.505388,1.588562,3.087856
2750,12.319610,1.566631,5.689426,0.529054,1.555031,2.979466
3000,11.997684,1.619586,5.569828,0.453209,1.512793,2.842267
3250,11.652861,1.552919,5.493711,0.441991,1.433669,2.730572
3500,11.104252,1.576121,5.287028,0.346116,1.357556,2.537432
3750,11.145522,1.611668,5.403323,0.333089,1.313990,2.483452
4000,10.864001,1.590129,5.231774,0.364100,1.281697,2.396302
4250,10.698361,1.621736,5.092696,0.379158,1.237563,2.367209
4500,10.540208,1.523009,5.269179,0.295344,1.209203,2.243473
4750,10.405993,1.610209,5.220776,0.250329,1.140582,2.184097
