step,val_loss,content,style,id1,id2,ssim
0,314.579727,14.439107,194.082550,46.709042,59.349037,0.000000
250,163.337310,19.993867,86.013473,4.117650,53.212321,0.000000
500,158.249955,18.319018,89.166563,3.180982,47.583392,0.000000
750,147.525599,18.013395,79.563576,3.554901,46.393727,0.000000
1000,132.901643,16.615575,71.723605,2.417243,42.145221,0.000000
1250,116.863959,16.674669,53.989993,3.494460,42.704837,0.000000
1500,103.612004,15.052944,51.130670,2.203618,35.224772,0.000000
1750,100.480328,14.680623,50.670221,2.088183,33.041300,0.000000
2000,93.035899,14.328468,45.812165,1.987372,30.907894,0.000000
2250,93.753853,14.131079,46.862757,2.360388,30.399629,0.000000
2500,90.595102,13.947003,45.587080,2.657749,28.403269,0.000000
