step,val_loss,content,style,id1,id2,ssim
0,82.618717,3.280864,40.166323,23.387554,5.846302,9.937674
250,34.729110,3.471077,19.408810,1.757921,4.477234,5.614068
500,34.795635,3.292135,20.834617,1.268812,4.114320,5.285751
750,33.689409,3.150771,20.563250,1.067369,3.923563,4.984456
1000,32.295151,3.028692,20.193230,0.835453,3.682480,4.555295
1250,25.506870,3.067362,13.111112,1.122942,3.875576,4.329878
1500,24.502331,2.950445,13.096495,0.930005,3.465240,4.060146
1750,23.088836,3.099621,11.297597,0.976747,3.611029,4.103842
2000,20.587819,3.019762,10.236621,0.587556,3.159745,3.584136
2250,20.904343,3.105728,10.362555,0.665662,3.198741,3.571658
2500,20.010714,3.073409,9.876527,0.564729,3.052855,3.443193
2750,19.639287,2.952172,9.812407,0.596296,2.952703,3.325709
3000,18.714726,2.925253,9.077246,0.543455,2.953361,3.215411
3250,19.199117,2.981656,9.652357,0.508267,2.891902,3.164934
3500,18.528598,2.901221,9.133429,0.545296,2.846162,3.102489
3750,18.030992,2.913385,8.902838,0.491888,2.781186,2.941697
4000,18.553260,2.822092,9.679933,0.473499,2.692962,2.884773
4250,17.518326,2.944969,8.917223,0.365719,2.528198,2.762217
4500,17.539182,2.886209,9.141428,0.386641,2.483763,2.641141
4750,16.188256,2.977167,7.909632,0.344969,2.383633,2.572855
