step,val_loss,content,style,id1,id2,ssim
125,78.255346,11.806203,35.752145,0.820376,20.881116,8.995504
250,79.869733,11.618811,37.925935,0.757358,20.627366,8.940264
375,77.792017,11.177686,37.362954,0.712339,20.035237,8.503802
500,77.032910,11.367626,36.460903,0.711848,19.939571,8.552962
625,74.393684,11.500594,34.847235,0.635071,19.161415,8.249368
750,79.511409,11.415649,39.615149,0.883891,19.367404,8.229316
875,72.753224,11.188132,34.306434,0.611243,18.638729,8.008686
1000,72.551333,11.096684,35.215712,0.640568,17.773313,7.825057
1125,73.294894,11.090542,36.283074,0.664827,17.524650,7.731800
1250,71.347514,11.142060,34.280313,0.701972,17.388679,7.834489
1375,70.743563,10.610355,34.843046,0.654809,17.037538,7.597815
1500,70.869635,11.263292,35.002549,0.607323,16.557613,7.438860
1625,71.002282,11.190615,35.666188,0.674243,16.064593,7.406642
1750,76.972234,10.270497,39.715696,1.030882,18.116909,7.838250
1875,71.171347,11.659211,35.546533,0.675584,16.054131,7.235888
