step,val_loss,content,style,id1,id2,ssim
0,126.495895,6.300433,65.549168,26.289620,18.378725,9.977948
250,55.996110,8.032671,26.683227,1.818720,13.934930,5.526562
500,61.902796,7.795963,34.641916,1.422482,12.765082,5.277354
750,55.327071,6.813341,31.015468,1.132970,11.605435,4.759857
1000,50.498174,5.986785,28.707446,0.844735,10.635860,4.323348
1250,47.045153,5.851468,25.488901,1.127675,10.387630,4.189477
1500,42.225831,5.711572,21.280915,1.068208,10.080457,4.084680
1750,38.040968,5.393604,18.948624,0.879193,9.123509,3.696039
2000,35.739739,5.323486,17.590271,0.681184,8.517689,3.627108
2250,34.611077,5.621257,16.095177,0.685456,8.684776,3.524411
2500,33.126251,5.359690,15.726676,0.595769,8.130065,3.314051
2750,31.717912,5.343471,14.818144,0.553660,7.846275,3.156361
3000,31.901122,5.302779,15.384730,0.532603,7.589538,3.091474
3250,31.372705,5.257759,15.193870,0.502962,7.401519,3.016595
3500,29.924941,5.365806,14.324220,0.419482,6.976757,2.838675
3750,28.898466,5.227746,14.153959,0.354930,6.444349,2.717483
4000,28.545881,4.866095,14.402833,0.368903,6.290686,2.617363
4250,27.530971,4.767403,13.949096,0.392414,5.876134,2.545923
4500,27.450965,4.558023,14.394256,0.299134,5.749097,2.450454
4750,25.509120,5.034209,12.540258,0.277139,5.276509,2.381005
