step,val_loss,content,style,id1,id2,ssim
125,75.435739,11.757714,35.973366,0.831050,20.778727,6.094881
250,76.698197,11.619271,37.555848,0.771563,20.701846,6.049669
375,75.077204,11.093750,36.838138,0.848179,20.399823,5.897314
500,74.381544,11.637556,35.054926,0.874397,20.842126,5.972540
625,72.295381,11.361805,34.156255,0.867326,20.113955,5.796040
750,73.875512,10.984789,38.169816,0.628458,18.566493,5.525955
875,70.266014,11.054271,34.166477,0.624758,18.912814,5.507692
1000,70.991556,10.929044,36.404137,0.610906,17.701811,5.345660
1125,72.471836,11.196341,37.401397,0.663242,17.901562,5.309294
1250,67.637247,11.269348,33.240770,0.684821,17.102782,5.339526
1375,67.503514,11.012410,33.686524,0.678728,16.965957,5.159893
1500,67.621785,11.241906,34.417851,0.570864,16.339954,5.051210
1625,67.635322,11.452049,34.019960,0.683690,16.417851,5.061773
1750,73.153580,10.468638,39.723149,0.719611,17.027913,5.214270
1875,68.524554,11.380395,35.899674,0.639082,15.640834,4.964569
2000,69.015261,10.507681,37.593881,0.534862,15.509230,4.869607
2125,66.394370,10.767679,35.324710,0.538789,15.008652,4.754539
2250,65.436623,10.321086,35.349320,0.516798,14.526413,4.723006
2375,68.528627,11.003598,37.146351,0.668431,14.987872,4.722373
2500,66.598624,10.271469,35.630409,0.600942,15.267846,4.827959
2625,66.701294,10.890276,36.858590,0.517273,13.910949,4.524205
2750,70.407721,11.418327,38.730905,0.662369,14.871705,4.724415
2875,62.670757,10.243483,34.035390,0.505545,13.411472,4.474867
3000,65.051463,10.692818,35.396384,0.532690,13.881554,4.548018
3125,62.312667,10.364821,33.991535,0.491286,13.042574,4.422450
3250,64.969966,10.762586,36.153092,0.536200,13.073881,4.444207
3375,65.385331,10.879181,35.527741,0.784204,13.618086,4.576119
3500,63.149490,10.486835,35.401601,0.456846,12.505987,4.298222
3625,63.366864,10.558927,35.374985,0.467911,12.662305,4.302738
3750,64.266280,10.392438,36.254615,0.499157,12.853993,4.266076
3875,62.741283,10.251911,35.291105,0.485701,12.411384,4.301182
