step,val_loss,content,style,id1,id2,ssim
125,71.359987,11.765713,34.804250,0.790873,20.880532,3.118620
250,72.603317,11.797576,36.246209,0.748891,20.736624,3.074017
375,72.287488,11.330219,36.478265,0.861486,20.555183,3.062335
500,72.031688,11.522692,36.413226,0.752174,20.334619,3.008977
625,69.250149,11.720422,33.756417,0.726162,20.113634,2.933514
750,69.741405,11.315630,35.864755,0.725911,18.927009,2.908099
875,68.220553,10.920810,34.918211,0.668706,18.862799,2.850027
1000,68.839057,11.213174,36.009902,0.648230,18.167708,2.800044
1125,70.014406,11.340808,36.672353,0.732767,18.491015,2.777463
1250,65.420894,11.083733,33.226982,0.695116,17.647359,2.767705
1375,67.778790,10.736684,35.751663,0.734973,17.824014,2.731455
1500,64.711046,11.331260,33.252760,0.604299,16.875730,2.646997
1625,64.798669,11.013833,33.521191,0.619341,16.936643,2.707660
1750,68.622642,10.551024,37.198645,0.769405,17.401016,2.702553
1875,65.943627,11.295818,34.855469,0.643214,16.515813,2.633313
