step,val_loss,content,style,id1,id2,ssim
0,322.107330,14.529992,192.373047,47.669527,57.951525,9.583243
250,164.676067,19.113291,86.275124,3.424235,50.011986,5.851433
500,153.043830,17.891641,79.688720,3.041324,46.628900,5.793244
750,165.401966,17.370421,93.632003,3.553981,45.422250,5.423317
1000,128.090132,16.725394,56.626363,3.111723,46.081068,5.545583
1250,112.049800,15.553989,51.511866,2.822756,37.396196,4.764994
1500,103.987960,15.286916,46.869125,1.900707,35.509772,4.421441
1750,99.257690,14.038562,48.800052,1.683185,30.556596,4.179296
2000,94.938782,13.606087,46.870692,1.648829,28.849751,3.963424
2250,91.406140,14.154888,42.802083,1.540703,28.964973,3.943493
2500,92.346029,13.332283,45.428483,1.774818,27.971494,3.838951
2750,90.370169,13.164977,46.091971,1.240636,26.173958,3.698626
3000,84.469707,13.279505,39.944337,1.679088,25.904654,3.662124
3250,90.118561,13.374239,44.087276,1.939288,26.999581,3.718179
3500,88.435645,11.994091,46.875852,1.248886,24.799356,3.517462
3750,81.827155,14.325258,38.217354,1.318647,24.526984,3.438913
4000,81.838607,12.635156,40.689977,1.412417,23.662321,3.438736
