step,val_loss,content,style,id1,id2,ssim
0,319.204361,15.115287,194.492546,50.659691,58.936832,0.000000
250,161.834919,19.663706,88.098618,3.640766,50.431830,0.000000
500,159.172586,18.224867,84.254853,6.615377,50.077488,0.000000
750,155.201054,17.446394,90.210564,2.720071,44.824026,0.000000
1000,132.006318,17.180349,66.930828,2.824242,45.070899,0.000000
1250,116.234463,15.935231,58.379560,2.470631,39.449040,0.000000
1500,103.956538,15.449514,52.131688,1.802408,34.572928,0.000000
1750,97.582190,14.637502,49.348797,1.571155,32.024736,0.000000
2000,100.391047,14.726329,52.562057,1.659959,31.442702,0.000000
2250,96.077830,15.102649,48.076366,2.183465,30.715349,0.000000
2500,90.293303,15.111016,42.699012,1.850665,30.632609,0.000000
2750,87.059924,13.553280,44.660014,1.702980,27.143649,0.000000
3000,84.300941,14.082339,42.284938,1.514840,26.418823,0.000000
3250,88.078430,13.725299,46.067013,1.583830,26.702289,0.000000
3500,83.225643,13.383182,42.798388,1.439211,25.604863,0.000000
3750,82.770139,14.271944,40.859949,1.308157,26.330089,0.000000
4000,76.023747,12.896724,39.499256,1.055961,22.571805,0.000000
4250,80.646123,12.565972,43.774442,1.072900,23.232809,0.000000
4500,73.699026,14.062593,36.620494,0.992411,22.023529,0.000000
4750,85.762486,13.669786,46.432522,1.473571,24.186605,0.000000
