step,val_loss,content,style,id1,id2,ssim
0,323.293915,14.716228,193.619446,46.129181,59.223705,9.605340
250,155.785153,18.757529,77.993431,3.606886,49.699309,5.727998
500,148.247732,17.005900,79.905010,3.065627,42.944923,5.326273
750,149.131240,14.624672,89.235423,2.241277,38.340635,4.689232
1000,123.102138,13.217287,69.448456,2.012776,34.093302,4.330316
1250,106.807660,12.805340,56.216684,1.994739,31.713284,4.077614
1500,102.324610,12.877238,53.163675,2.158951,30.189451,3.935297
1750,97.953664,12.620900,51.759591,1.905154,27.812263,3.855757
2000,94.061478,12.525695,49.166084,1.399611,27.248174,3.721913
2250,92.423130,12.468814,48.140372,1.396252,26.681960,3.735734
2500,86.656336,13.328364,42.476932,1.408209,25.839888,3.602944
2750,106.577690,13.605655,57.694001,2.111306,29.521707,3.645022
3000,85.246613,12.379070,44.805796,1.317930,23.325383,3.418433
3250,85.154089,12.317483,44.205808,1.458910,23.816413,3.355476
3500,83.579877,11.518060,44.661784,1.480852,22.624978,3.294203
3750,80.897615,12.125500,42.700219,1.345645,21.520053,3.206199
4000,77.228038,11.471720,40.919088,1.108312,20.636873,3.092044
4250,79.969749,11.741810,44.494950,1.130641,19.667891,2.934456
4500,78.817258,11.081009,45.009364,0.875404,18.892486,2.958997
4750,78.318156,11.055209,45.368067,0.808848,18.346942,2.739091
5000,73.744586,11.149585,41.625700,0.937832,17.221563,2.809906
5250,74.946372,10.374617,43.621569,1.141189,17.015635,2.793363
5500,68.415251,11.093742,38.194074,0.716422,15.809798,2.601216
5750,69.275215,11.090774,38.813488,0.782879,16.004657,2.583418
6000,72.232245,10.618953,42.887527,0.762333,15.474379,2.489054
6250,66.355869,10.317286,38.929663,0.569361,14.100293,2.439265
6500,68.992361,10.333575,41.613491,0.706287,13.934746,2.404261
