folder,ArtFID,FID,LPIPS,CFSD,Iterations,Time HH:MM:SS,Iterations/s
ps8_lr2e-04_bs8_it50k_id0_es1_hb0_ssim0_ssim_w2,90.783,43.911,1.021,0.331,,,
ps8_lr2e-04_bs8_it50k_id1_es1_hb1_ssim1_ssim_w4,26.351,15.828,0.566,0.310,,,
ps8_lr2e-04_bs8_it10k_id1_es1_hb1_ssim0_ssim_w2,26.526,15.364,0.621,0.343,,,
ps8_lr2e-04_bs8_it10k_id1_es0_hb1_ssim0_ssim_w2,25.263,15.329,0.547,0.304,,,
ps8_lr2e-04_bs8_it4k_id1_es0_hb1_ssim0_ssim_w2,26.763,15.871,0.586,0.314,,,
ps8_lr2e-04_bs8_it4k_id1_es0_hb1_ssim0_ssimW2,26.676,16.182,0.553,0.295,,,
ps8_lr2e-04_bs8_it4k_id1_es0_hb0_ssim0_ssimW2,25.135,16.062,0.473,0.257,,,
ps8_lr2e-04_bs8_it4k_id1_es0_hb1_ssim0_ssimW2,91.886,45.402,0.980,0.331,,,
ps8_lr2e-04_bs8_it4k_id1_es0_hb1_ssim0_ssimW2,25.471,17.352,0.388,0.198,,,
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim0_ssimW2,27.574,17.201,0.515,0.269,,,
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim0_ssim_w2,70.582,33.987,1.017,0.333,,,
ps8_lr2e-04_bs8_it50k_id0_es1_hb0_ssim0_ssim_w2,27.397,16.100,0.602,0.362,,,
ps8_lr2e-04_bs8_it50k_id0_es1_hb0_ssim0_ssim_w2,30.083,17.189,0.654,0.371,,,
