step,val_loss,content,style,id1,id2,ssim
125,80.253247,11.832033,34.962684,0.813230,20.812990,11.832310
250,79.771096,11.885489,34.692200,0.914124,20.503288,11.775996
375,81.837774,11.027773,38.800090,0.716170,20.071946,11.221795
500,80.055812,11.275609,37.135627,0.736885,19.760636,11.147054
625,76.356792,11.126444,35.261298,0.600718,18.739520,10.628811
750,83.487585,11.187731,42.102854,0.709725,18.937167,10.550108
875,75.400787,11.020455,34.474430,0.620156,18.606797,10.678950
1000,76.497504,10.723028,37.553278,0.616452,17.437874,10.166872
1125,75.257543,11.128018,36.285369,0.609360,17.217411,10.017385
1250,74.004725,11.138001,34.923376,0.717593,17.067531,10.158223
1375,70.293955,11.281028,32.309109,0.614484,16.354969,9.734366
1500,71.538356,11.158569,34.451006,0.543188,15.893507,9.492086
1625,71.551697,11.462969,34.466515,0.535534,15.593839,9.492840
1750,77.189215,9.855006,40.602674,0.692103,16.313312,9.726120
1875,72.991432,11.459253,35.941677,0.646994,15.613590,9.329918
