step,val_loss,content,style,id1,id2,ssim
0,306.725372,13.999555,190.864449,43.677744,58.183615,0.000000
250,148.720381,18.984659,75.645464,3.434891,50.655366,0.000000
500,151.625007,18.183715,84.049028,2.791266,46.600998,0.000000
750,156.362346,16.540150,94.114037,3.041105,42.667055,0.000000
1000,117.014887,15.666226,58.667907,2.496290,40.184464,0.000000
1250,112.692033,14.619492,58.499315,2.596223,36.977003,0.000000
1500,100.483479,13.752168,51.829439,1.987114,32.914758,0.000000
1750,100.731884,13.195654,54.262045,2.438064,30.836120,0.000000
2000,89.094600,13.465772,44.832989,1.685553,29.110287,0.000000
2250,91.460764,13.147677,47.781548,1.827062,28.704477,0.000000
2500,89.731816,12.934096,46.657447,1.758155,28.382119,0.000000
2750,84.222783,13.416451,42.734334,1.436419,26.635579,0.000000
3000,84.156118,13.123364,43.428753,1.639793,25.964206,0.000000
